name_of_work,content,,,,,,,,,,,,,,
Death In Leamington by John Betjeman,"She died in the upstairs bedroom
By the light of the ev'ning star
That shone through the plate glass window
From over Leamington Spa

Beside her the lonely crochet
Lay patiently and unstirred,
But the fingers that would have work'd it
Were dead as the spoken word.

And Nurse came in with the tea-things
Breast high 'mid the stands and chairs-
But Nurse was alone with her own little soul,
And the things were alone with theirs.

She bolted the big round window,
She let the blinds unroll,
She set a match to the mantle,
She covered the fire with coal.

And ""Tea!"" she said in a tiny voice
""Wake up! It's nearly five""
Oh! Chintzy, chintzy cheeriness,
Half dead and half alive.

Do you know that the stucco is peeling?
Do you know that the heart will stop?
From those yellow Italianate arches
Do you hear the plaster drop?

Nurse looked at the silent bedstead,
At the gray, decaying face,
As the calm of a Leamington ev'ning
Drifted into the place.

She moved the table of bottles
Away from the bed to the wall;
And tiptoeing gently over the stairs
Turned down the gas in the hall.",,,,,,,,,,,,,,
Homecoming: Anse La Raye by Derek Walcott,"Whatever else we learned
at school, like solemn Afro-Gods eager for grades,
of Helen and the shades
of borrowed ancestors,
there are no rites
for those who have returned,
only, when her looms fade,
drilled in our skulls, the doom-
surge-haunted nights,
only this well-known passage

under the coconuts’ salt-rusted
swords, these rotted
leathery sea-grape leaves,
the seacrabs’ brittle helmets, and
this barbeque of branches, like the ribs
of sacrificial oxen on scorched sand;
only this fish-gut-reeking beach
whose frigates tack like buzzards overhead,
whose spindly, sugar-headed children race
pelting up from the shallows
because your clothes,
your posture
seem a tourist’s.
They swarm like flies
round your heart’s sore.

Suffer them to come,
entering your needle’s eye,
knowing whether they live or die,
what others make of life will pass them by
like that far silvery freighter
threading the horizon like a toy;
for once, like them,
you wanted no career
but this sheer light, this clear,
infinite, boring, paradisal sea,
but hoped it would mean something to declare
today, I am your poet, yours,
all this you knew,
but never guessed you’d come
to know there are homecomings without home.

You give them nothing.
Their curses melt in air.
The black cliffs scowl,
the ocean sucks its teeth,
like that dugout canoe
a drifting petal fallen in a cup,
with nothing but its image,
your sway, reflecting nothing.
The freighter’s silvery ghost
is gone, the children gone.
Dazed by the sun
you trudge back to the village
past the white, salty esplanade
under whose palms dead
fishermen move their draughts in shade,
crossing, eating their islands,
and one, with a politician’s
ignorant, sweet smile, nods,
as if all fate
swayed in his lifted hand.",,,,,,,,,,,,,,
Canal Bank Walk by Patrick Kavanagh,"Leafy-with-love banks and the green waters of the canal
Pouring redemption for me, that I do
The will of God, wallow in the habitual, the banal,
Grow with nature again as before I grew.
The bright stick trapped, the breeze adding a third
Party to the couple kissing on an old seat,
And a bird gathering materials for the nest for the Word
Eloquently new and abandoned to its delirious beat.
O unworn world enrapture me, encapture me in a web
Of fabulous grass and eternal voices by a beech,
Feed the gaping need of my senses, give me ad lib
To pray unselfconsciously with overflowing speech
For this soul needs to be honoured with a new dress woven
From green and blue things and arguments that cannot be proven.",,,,,,,,,,,,,,
Life Doesn’t Frighten Me by Maya Angelou,"Shadows on the wall
Noises down the hall
Life doesn't frighten me at all

Bad dogs barking loud
Big ghosts in a cloud
Life doesn't frighten me at all

Mean old Mother Goose
Lions on the loose
They don't frighten me at all

Dragons breathing flame
On my counterpane
That doesn't frighten me at all.

I go boo
Make them shoo
I make fun
Way they run
I won't cry
So they fly
I just smile
They go wild

Life doesn't frighten me at all.

Tough guys fight
All alone at night
Life doesn't frighten me at all.

Panthers in the park
Strangers in the dark
No, they don't frighten me at all.

That new classroom where
Boys all pull my hair
(Kissy little girls
With their hair in curls)
They don't frighten me at all.

Don't show me frogs and snakes
And listen for my scream,
If I'm afraid at all
It's only in my dreams.

I've got a magic charm
That I keep up my sleeve
I can walk the ocean floor
And never have to breathe.

Life doesn't frighten me at all
Not at all
Not at all.

Life doesn't frighten me at all.",,,,,,,,,,,,,,
Slough by John Betjeman,"Come friendly bombs and fall on Slough!
It isn't fit for humans now,
There isn't grass to graze a cow.
Swarm over, Death!
Come, bombs and blow to smithereens
Those air -conditioned, bright canteens,
Tinned fruit, tinned meat, tinned milk, tinned beans,
Tinned minds, tinned breath.

Mess up the mess they call a town-
A house for ninety-seven down
And once a week a half a crown
For twenty years.

And get that man with double chin
Who'll always cheat and always win,
Who washes his repulsive skin
In women's tears:

And smash his desk of polished oak
And smash his hands so used to stroke
And stop his boring dirty joke
And make him yell.

But spare the bald young clerks who add
The profits of the stinking cad;
It's not their fault that they are mad,
They've tasted Hell.

It's not their fault they do not know
The birdsong from the radio,
It's not their fault they often go
To Maidenhead

And talk of sport and makes of cars
In various bogus-Tudor bars
And daren't look up and see the stars
But belch instead.

In labour-saving homes, with care
Their wives frizz out peroxide hair
And dry it in synthetic air
And paint their nails.

Come, friendly bombs and fall on Slough
To get it ready for the plough.
The cabbages are coming now;
The earth exhales.",,,,,,,,,,,,,,
One Word Is Too Often Profaned by Percy Bysshe Shelley,"One word is too often profaned
For me to profane it,
One feeling too falsely disdained
For thee to disdain it;
One hope is too like despair
For prudence to smother,
And pity from thee more dear
Than that from another.

I can give not what men call love,
But wilt thou accept not
The worship the heart lifts above
And the Heavens reject not,—
The desire of the moth for the star,
Of the night for the morrow,
The devotion to something afar
From the sphere of our sorrow?",,,,,,,,,,,,,,
Clown in the Moon by Dylan Thomas,"My tears are like the quiet drift
Of petals from some magic rose;
And all my grief flows from the rift
Of unremembered skies and snows.

I think, that if I touched the earth,
It would crumble;
It is so sad and beautiful,
So tremulously like a dream.",,,,,,,,,,,,,,
The Unfinished by Laurie Sheck,"We were characters in a story
the writer couldn't bring himself to finish.
When he left us it was late, a child
was crying, newsprint smudged on our fingertips
as if to make of us a mechanism
by which the world would repeat itself, its story:
this happened -- did you hear? -- then that.
So many disparate versions. The terror
risen into words, shrouded there, hanging, so cold.
And the tenderness -- how the words barely touched it,
as if to speak it were a further hurt.
It was night when he left us,
and the child who could not yet remember her dreams
woke saying, where are the toys of the moon,
are we the moon's toys? Outside, lines
of stiff trees stood like hieroglyphs,
the configuration of the one for dagger
so close to the one that stands for shrub,
so hard to understand the difference;
or the one for fear that also could mean
reverence, the one for medicine so similar
to entreaty and to prayer.
And in the distance the red tremor
of the radio tower, and the planes that passed above us
as we held to the earth and didn't understand the earth.",,,,,,,,,,,,,,
O sweet spontaneous by E.E. Cummings,"O sweet spontaneous
earth how often have
the
doting
fingers of
prurient philosophers pinched
and
poked
thee
,has the naughty thumb
of science prodded
thy
beauty how
often have religions taken
thee upon their scraggy knees
squeezing and
buffeting thee that thou mightest conceive
gods
(but
true
to the incomparable
couch of death thy
rhythmic
lover
thou answerest
them only with
spring)",,,,,,,,,,,,,,
Perfection Wasted by John Updike,"And another regrettable thing about death
is the ceasing of your own brand of magic,
which took a whole life to develop and market —
the quips, the witticisms, the slant
adjusted to a few, those loved ones nearest
the lip of the stage, their soft faces blanched
in the footlight glow, their laughter close to tears,
their tears confused with their diamond earrings,
their warm pooled breath in and out with your heartbeat,
their response and your performance twinned.
The jokes over the phone. The memories packed
in the rapid-access file. The whole act.
Who will do it again? That's it: no one;
imitators and descendants aren't the same.",,,,,,,,,,,,,,
